,passage,question,text
120,وتفقد الطير فقال ما لي لا أرى الهدهد أم كان من الغائبين. لأعذبنه عذابا شديدا أو لأذبحنه أو ليأتيني بسلطان مبين. فمكث غير بعيد فقال أحطت بما لم تحط به وجئتك من سبإ بنبإ يقين. إني وجدت امرأة تملكهم وأوتيت من كل شيء ولها عرش عظيم. وجدتها وقومها يسجدون للشمس من دون الله وزين لهم الشيطان أعمالهم فصدهم عن السبيل فهم لا يهتدون. ألا يسجدوا لله الذي يخرج الخبء في السماوات والأرض ويعلم ما تخفون وما تعلنون. الله لا إله إلا هو رب العرش العظيم. قال سننظر أصدقت أم كنت من الكاذبين. اذهب بكتابي هذا فألقه إليهم ثم تول عنهم فانظر ماذا يرجعون.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الهدهد
121,وإذا وقع القول عليهم أخرجنا لهم دابة من الأرض تكلمهم أن الناس كانوا بآياتنا لا يوقنون. ويوم نحشر من كل أمة فوجا ممن يكذب بآياتنا فهم يوزعون. حتى إذا جاءوا قال أكذبتم بآياتي ولم تحيطوا بها علما أماذا كنتم تعملون. ووقع القول عليهم بما ظلموا فهم لا ينطقون. ألم يروا أنا جعلنا الليل ليسكنوا فيه والنهار مبصرا إن في ذلك لآيات لقوم يؤمنون. ويوم ينفخ في الصور ففزع من في السماوات ومن في الأرض إلا من شاء الله وكل أتوه داخرين. وترى الجبال تحسبها جامدة وهي تمر مر السحاب صنع الله الذي أتقن كل شيء إنه خبير بما تفعلون.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,دابة
122,مثل الذين اتخذوا من دون الله أولياء كمثل العنكبوت اتخذت بيتا وإن أوهن البيوت لبيت العنكبوت لو كانوا يعلمون. إن الله يعلم ما يدعون من دونه من شيء وهو العزيز الحكيم. وتلك الأمثال نضربها للناس وما يعقلها إلا العالمون.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,العنكبوت
123,ولقد آتينا لقمان الحكمة أن اشكر لله ومن يشكر فإنما يشكر لنفسه ومن كفر فإن الله غني حميد. وإذ قال لقمان لابنه وهو يعظه يا بني لا تشرك بالله إن الشرك لظلم عظيم. ووصينا الإنسان بوالديه حملته أمه وهنا على وهن وفصاله في عامين أن اشكر لي ولوالديك إلي المصير. وإن جاهداك على أن تشرك بي ما ليس لك به علم فلا تطعهما وصاحبهما في الدنيا معروفا واتبع سبيل من أناب إلي ثم إلي مرجعكم فأنبئكم بما كنتم تعملون. يا بني إنها إن تك مثقال حبة من خردل فتكن في صخرة أو في السماوات أو في الأرض يأت بها الله إن الله لطيف خبير. يا بني أقم الصلاة وأمر بالمعروف وانه عن المنكر واصبر على ما أصابك إن ذلك من عزم الأمور. ولا تصعر خدك للناس ولا تمش في الأرض مرحا إن الله لا يحب كل مختال فخور. واقصد في مشيك واغضض من صوتك إن أنكر الأصوات لصوت الحمير.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الحمير
124,ولقد آتينا داوود منا فضلا يا جبال أوبي معه والطير وألنا له الحديد. أن اعمل سابغات وقدر في السرد واعملوا صالحا إني بما تعملون بصير. ولسليمان الريح غدوها شهر ورواحها شهر وأسلنا له عين القطر ومن الجن من يعمل بين يديه بإذن ربه ومن يزغ منهم عن أمرنا نذقه من عذاب السعير. يعملون له ما يشاء من محاريب وتماثيل وجفان كالجواب وقدور راسيات اعملوا آل داوود شكرا وقليل من عبادي الشكور.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الطير
125,فلما قضينا عليه الموت ما دلهم على موته إلا دابة الأرض تأكل منسأته فلما خر تبينت الجن أن لو كانوا يعلمون الغيب ما لبثوا في العذاب المهين.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,دابة الأرض
126,وإن يونس لمن المرسلين. إذ أبق إلى الفلك المشحون. فساهم فكان من المدحضين. فالتقمه الحوت وهو مليم. فلولا أنه كان من المسبحين. للبث في بطنه إلى يوم يبعثون. فنبذناه بالعراء وهو سقيم. وأنبتنا عليه شجرة من يقطين. وأرسلناه إلى مائة ألف أو يزيدون. فآمنوا فمتعناهم إلى حين.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الحوت
127,كذبت قبلهم قوم نوح وعاد وفرعون ذو الأوتاد. وثمود وقوم لوط وأصحاب الأيكة أولئك الأحزاب. إن كل إلا كذب الرسل فحق عقاب. وما ينظر هؤلاء إلا صيحة واحدة ما لها من فواق. وقالوا ربنا عجل لنا قطنا قبل يوم الحساب. اصبر على ما يقولون واذكر عبدنا داوود ذا الأيد إنه أواب. إنا سخرنا الجبال معه يسبحن بالعشي والإشراق. والطير محشورة كل له أواب. وشددنا ملكه وآتيناه الحكمة وفصل الخطاب.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الطير
128,هل أتاك حديث ضيف إبراهيم المكرمين. إذ دخلوا عليه فقالوا سلاما قال سلام قوم منكرون. فراغ إلى أهله فجاء بعجل سمين. فقربه إليهم قال ألا تأكلون. فأوجس منهم خيفة قالوا لا تخف وبشروه بغلام عليم. فأقبلت امرأته في صرة فصكت وجهها وقالت عجوز عقيم. قالوا كذلك قال ربك إنه هو الحكيم العليم. قال فما خطبكم أيها المرسلون. قالوا إنا أرسلنا إلى قوم مجرمين. لنرسل عليهم حجارة من طين. مسومة عند ربك للمسرفين. فأخرجنا من كان فيها من المؤمنين. فما وجدنا فيها غير بيت من المسلمين. وتركنا فيها آية للذين يخافون العذاب الأليم.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,عجل
129,اقتربت الساعة وانشق القمر. وإن يروا آية يعرضوا ويقولوا سحر مستمر. وكذبوا واتبعوا أهواءهم وكل أمر مستقر. ولقد جاءهم من الأنباء ما فيه مزدجر. حكمة بالغة فما تغن النذر. فتول عنهم يوم يدع الداع إلى شيء نكر. خشعا أبصارهم يخرجون من الأجداث كأنهم جراد منتشر. مهطعين إلى الداع يقول الكافرون هذا يوم عسر.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,جراد
130,كذبت ثمود بالنذر. فقالوا أبشرا منا واحدا نتبعه إنا إذا لفي ضلال وسعر. أألقي الذكر عليه من بيننا بل هو كذاب أشر. سيعلمون غدا من الكذاب الأشر. إنا مرسلو الناقة فتنة لهم فارتقبهم واصطبر. ونبئهم أن الماء قسمة بينهم كل شرب محتضر. فنادوا صاحبهم فتعاطى فعقر. فكيف كان عذابي ونذر. إنا أرسلنا عليهم صيحة واحدة فكانوا كهشيم المحتظر. ولقد يسرنا القرآن للذكر فهل من مدكر.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الناقة
131,أولئك المقربون. في جنات النعيم. ثلة من الأولين. وقليل من الآخرين. على سرر موضونة. متكئين عليها متقابلين. يطوف عليهم ولدان مخلدون. بأكواب وأباريق وكأس من معين. لا يصدعون عنها ولا ينزفون. وفاكهة مما يتخيرون. ولحم طير مما يشتهون. وحور عين. كأمثال اللؤلؤ المكنون. جزاء بما كانوا يعملون. لا يسمعون فيها لغوا ولا تأثيما. إلا قيلا سلاما سلاما.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,طير
132,وما أفاء الله على رسوله منهم فما أوجفتم عليه من خيل ولا ركاب ولكن الله يسلط رسله على من يشاء والله على كل شيء قدير. ما أفاء الله على رسوله من أهل القرى فلله وللرسول ولذي القربى واليتامى والمساكين وابن السبيل كي لا يكون دولة بين الأغنياء منكم وما آتاكم الرسول فخذوه وما نهاكم عنه فانتهوا واتقوا الله إن الله شديد العقاب.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,خيل
133,مثل الذين حملوا التوراة ثم لم يحملوها كمثل الحمار يحمل أسفارا بئس مثل القوم الذين كذبوا بآيات الله والله لا يهدي القوم الظالمين. قل يا أيها الذين هادوا إن زعمتم أنكم أولياء لله من دون الناس فتمنوا الموت إن كنتم صادقين. ولا يتمنونه أبدا بما قدمت أيديهم والله عليم بالظالمين. قل إن الموت الذي تفرون منه فإنه ملاقيكم ثم تردون إلى عالم الغيب والشهادة فينبئكم بما كنتم تعملون.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الحمار
134,أأمنتم من في السماء أن يخسف بكم الأرض فإذا هي تمور. أم أمنتم من في السماء أن يرسل عليكم حاصبا فستعلمون كيف نذير. ولقد كذب الذين من قبلهم فكيف كان نكير. أولم يروا إلى الطير فوقهم صافات ويقبضن ما يمسكهن إلا الرحمن إنه بكل شيء بصير. أمن هذا الذي هو جند لكم ينصركم من دون الرحمن إن الكافرون إلا في غرور. أمن هذا الذي يرزقكم إن أمسك رزقه بل لجوا في عتو ونفور. أفمن يمشي مكبا على وجهه أهدى أمن يمشي سويا على صراط مستقيم. قل هو الذي أنشأكم وجعل لكم السمع والأبصار والأفئدة قليلا ما تشكرون.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الطير
135,فاصبر لحكم ربك ولا تكن كصاحب الحوت إذ نادى وهو مكظوم. لولا أن تداركه نعمة من ربه لنبذ بالعراء وهو مذموم. فاجتباه ربه فجعله من الصالحين. وإن يكاد الذين كفروا ليزلقونك بأبصارهم لما سمعوا الذكر ويقولون إنه لمجنون. وما هو إلا ذكر للعالمين.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الحوت
136,فما لهم عن التذكرة معرضين. كأنهم حمر مستنفرة. فرت من قسورة. بل يريد كل امرئ منهم أن يؤتى صحفا منشرة. كلا بل لا يخافون الآخرة. كلا إنه تذكرة. فمن شاء ذكره. وما يذكرون إلا أن يشاء الله هو أهل التقوى وأهل المغفرة.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,حمر
137,فما لهم عن التذكرة معرضين. كأنهم حمر مستنفرة. فرت من قسورة. بل يريد كل امرئ منهم أن يؤتى صحفا منشرة. كلا بل لا يخافون الآخرة. كلا إنه تذكرة. فمن شاء ذكره. وما يذكرون إلا أن يشاء الله هو أهل التقوى وأهل المغفرة.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,قسورة
138,انطلقوا إلى ما كنتم به تكذبون. انطلقوا إلى ظل ذي ثلاث شعب. لا ظليل ولا يغني من اللهب. إنها ترمي بشرر كالقصر. كأنه جمالت صفر. ويل يومئذ للمكذبين. هذا يوم لا ينطقون. ولا يؤذن لهم فيعتذرون. ويل يومئذ للمكذبين. هذا يوم الفصل جمعناكم والأولين. فإن كان لكم كيد فكيدون. ويل يومئذ للمكذبين.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,جمالت
139,أفلا ينظرون إلى الإبل كيف خلقت. وإلى السماء كيف رفعت. وإلى الجبال كيف نصبت. وإلى الأرض كيف سطحت. فذكر إنما أنت مذكر. لست عليهم بمصيطر. إلا من تولى وكفر. فيعذبه الله العذاب الأكبر. إن إلينا إيابهم. ثم إن علينا حسابهم.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الإبل
140,والشمس وضحاها. والقمر إذا تلاها. والنهار إذا جلاها. والليل إذا يغشاها. والسماء وما بناها. والأرض وما طحاها. ونفس وما سواها. فألهمها فجورها وتقواها. قد أفلح من زكاها. وقد خاب من دساها. كذبت ثمود بطغواها. إذ انبعث أشقاها. فقال لهم رسول الله ناقة الله وسقياها. فكذبوه فعقروها فدمدم عليهم ربهم بذنبهم فسواها. ولا يخاف عقباها.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,ناقة
141,القارعة. ما القارعة. وما أدراك ما القارعة. يوم يكون الناس كالفراش المبثوث. وتكون الجبال كالعهن المنفوش. فأما من ثقلت موازينه. فهو في عيشة راضية. وأما من خفت موازينه. فأمه هاوية. وما أدراك ما هيه. نار حامية.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الفراش
142,ألم تر كيف فعل ربك بأصحاب الفيل. ألم يجعل كيدهم في تضليل. وأرسل عليهم طيرا أبابيل. ترميهم بحجارة من سجيل. فجعلهم كعصف مأكول.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,الفيل
143,ألم تر كيف فعل ربك بأصحاب الفيل. ألم يجعل كيدهم في تضليل. وأرسل عليهم طيرا أبابيل. ترميهم بحجارة من سجيل. فجعلهم كعصف مأكول.,ما هي انواع الحيوانات التي ذكرت في القرآن؟,طيرا
144,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون. وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين. قالوا سبحانك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم. قال يا آدم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون.,ما المخلوقات التي تسبح الله؟,للملائكة
145,إن الله اصطفى آدم ونوحا وآل إبراهيم وآل عمران على العالمين. ذرية بعضها من بعض والله سميع عليم. إذ قالت امرأت عمران رب إني نذرت لك ما في بطني محررا فتقبل مني إنك أنت السميع العليم. فلما وضعتها قالت رب إني وضعتها أنثى والله أعلم بما وضعت وليس الذكر كالأنثى وإني سميتها مريم وإني أعيذها بك وذريتها من الشيطان الرجيم. فتقبلها ربها بقبول حسن وأنبتها نباتا حسنا وكفلها زكريا كلما دخل عليها زكريا المحراب وجد عندها رزقا قال يا مريم أنى لك هذا قالت هو من عند الله إن الله يرزق من يشاء بغير حساب. هنالك دعا زكريا ربه قال رب هب لي من لدنك ذرية طيبة إنك سميع الدعاء. فنادته الملائكة وهو قائم يصلي في المحراب أن الله يبشرك بيحيى مصدقا بكلمة من الله وسيدا وحصورا ونبيا من الصالحين. قال رب أنى يكون لي غلام وقد بلغني الكبر وامرأتي عاقر قال كذلك الله يفعل ما يشاء. قال رب اجعل لي آية قال آيتك ألا تكلم الناس ثلاثة أيام إلا رمزا واذكر ربك كثيرا وسبح بالعشي والإبكار.,ما المخلوقات التي تسبح الله؟,زكريا
146,وواعدنا موسى ثلاثين ليلة وأتممناها بعشر فتم ميقات ربه أربعين ليلة وقال موسى لأخيه هارون اخلفني في قومي وأصلح ولا تتبع سبيل المفسدين. ولما جاء موسى لميقاتنا وكلمه ربه قال رب أرني أنظر إليك قال لن تراني ولكن انظر إلى الجبل فإن استقر مكانه فسوف تراني فلما تجلى ربه للجبل جعله دكا وخر موسى صعقا فلما أفاق قال سبحانك تبت إليك وأنا أول المؤمنين.,ما المخلوقات التي تسبح الله؟,موسى
147,وإذا قرئ القرآن فاستمعوا له وأنصتوا لعلكم ترحمون. واذكر ربك في نفسك تضرعا وخيفة ودون الجهر من القول بالغدو والآصال ولا تكن من الغافلين. إن الذين عند ربك لا يستكبرون عن عبادته ويسبحونه وله يسجدون.,ما المخلوقات التي تسبح الله؟,الذين عند ربك
148,إن الذين لا يرجون لقاءنا ورضوا بالحياة الدنيا واطمأنوا بها والذين هم عن آياتنا غافلون. أولئك مأواهم النار بما كانوا يكسبون. إن الذين آمنوا وعملوا الصالحات يهديهم ربهم بإيمانهم تجري من تحتهم الأنهار في جنات النعيم. دعواهم فيها سبحانك اللهم وتحيتهم فيها سلام وآخر دعواهم أن الحمد لله رب العالمين.,ما المخلوقات التي تسبح الله؟,الذين آمنوا وعملوا الصالحات
149,هو الذي يريكم البرق خوفا وطمعا وينشئ السحاب الثقال. ويسبح الرعد بحمده والملائكة من خيفته ويرسل الصواعق فيصيب بها من يشاء وهم يجادلون في الله وهو شديد المحال. له دعوة الحق والذين يدعون من دونه لا يستجيبون لهم بشيء إلا كباسط كفيه إلى الماء ليبلغ فاه وما هو ببالغه وما دعاء الكافرين إلا في ضلال. ولله يسجد من في السماوات والأرض طوعا وكرها وظلالهم بالغدو والآصال.,ما المخلوقات التي تسبح الله؟,الرعد
150,هو الذي يريكم البرق خوفا وطمعا وينشئ السحاب الثقال. ويسبح الرعد بحمده والملائكة من خيفته ويرسل الصواعق فيصيب بها من يشاء وهم يجادلون في الله وهو شديد المحال. له دعوة الحق والذين يدعون من دونه لا يستجيبون لهم بشيء إلا كباسط كفيه إلى الماء ليبلغ فاه وما هو ببالغه وما دعاء الكافرين إلا في ضلال. ولله يسجد من في السماوات والأرض طوعا وكرها وظلالهم بالغدو والآصال.,ما المخلوقات التي تسبح الله؟,الملائكة
151,أفأصفاكم ربكم بالبنين واتخذ من الملائكة إناثا إنكم لتقولون قولا عظيما. ولقد صرفنا في هذا القرآن ليذكروا وما يزيدهم إلا نفورا. قل لو كان معه آلهة كما يقولون إذا لابتغوا إلى ذي العرش سبيلا. سبحانه وتعالى عما يقولون علوا كبيرا. تسبح له السماوات السبع والأرض ومن فيهن وإن من شيء إلا يسبح بحمده ولكن لا تفقهون تسبيحهم إنه كان حليما غفورا.,ما المخلوقات التي تسبح الله؟,السماوات السبع والأرض ومن فيهن
152,أفأصفاكم ربكم بالبنين واتخذ من الملائكة إناثا إنكم لتقولون قولا عظيما. ولقد صرفنا في هذا القرآن ليذكروا وما يزيدهم إلا نفورا. قل لو كان معه آلهة كما يقولون إذا لابتغوا إلى ذي العرش سبيلا. سبحانه وتعالى عما يقولون علوا كبيرا. تسبح له السماوات السبع والأرض ومن فيهن وإن من شيء إلا يسبح بحمده ولكن لا تفقهون تسبيحهم إنه كان حليما غفورا.,ما المخلوقات التي تسبح الله؟,إن من شيء إلا يسبح بحمده
153,وبالحق أنزلناه وبالحق نزل وما أرسلناك إلا مبشرا ونذيرا. وقرآنا فرقناه لتقرأه على الناس على مكث ونزلناه تنزيلا. قل آمنوا به أو لا تؤمنوا إن الذين أوتوا العلم من قبله إذا يتلى عليهم يخرون للأذقان سجدا. ويقولون سبحان ربنا إن كان وعد ربنا لمفعولا. ويخرون للأذقان يبكون ويزيدهم خشوعا. قل ادعوا الله أو ادعوا الرحمن أيا ما تدعوا فله الأسماء الحسنى ولا تجهر بصلاتك ولا تخافت بها وابتغ بين ذلك سبيلا. وقل الحمد لله الذي لم يتخذ ولدا ولم يكن له شريك في الملك ولم يكن له ولي من الذل وكبره تكبيرا.,ما المخلوقات التي تسبح الله؟,الذين أوتوا العلم من قبله
154,وما خلقنا السماء والأرض وما بينهما لاعبين. لو أردنا أن نتخذ لهوا لاتخذناه من لدنا إن كنا فاعلين. بل نقذف بالحق على الباطل فيدمغه فإذا هو زاهق ولكم الويل مما تصفون. وله من في السماوات والأرض ومن عنده لا يستكبرون عن عبادته ولا يستحسرون. يسبحون الليل والنهار لا يفترون.,ما المخلوقات التي تسبح الله؟,من عنده
155,وداوود وسليمان إذ يحكمان في الحرث إذ نفشت فيه غنم القوم وكنا لحكمهم شاهدين. ففهمناها سليمان وكلا آتينا حكما وعلما وسخرنا مع داوود الجبال يسبحن والطير وكنا فاعلين. وعلمناه صنعة لبوس لكم لتحصنكم من بأسكم فهل أنتم شاكرون. ولسليمان الريح عاصفة تجري بأمره إلى الأرض التي باركنا فيها وكنا بكل شيء عالمين. ومن الشياطين من يغوصون له ويعملون عملا دون ذلك وكنا لهم حافظين.,ما المخلوقات التي تسبح الله؟,الجبال
156,وداوود وسليمان إذ يحكمان في الحرث إذ نفشت فيه غنم القوم وكنا لحكمهم شاهدين. ففهمناها سليمان وكلا آتينا حكما وعلما وسخرنا مع داوود الجبال يسبحن والطير وكنا فاعلين. وعلمناه صنعة لبوس لكم لتحصنكم من بأسكم فهل أنتم شاكرون. ولسليمان الريح عاصفة تجري بأمره إلى الأرض التي باركنا فيها وكنا بكل شيء عالمين. ومن الشياطين من يغوصون له ويعملون عملا دون ذلك وكنا لهم حافظين.,ما المخلوقات التي تسبح الله؟,الطير
157,الله نور السماوات والأرض مثل نوره كمشكاة فيها مصباح المصباح في زجاجة الزجاجة كأنها كوكب دري يوقد من شجرة مباركة زيتونة لا شرقية ولا غربية يكاد زيتها يضيء ولو لم تمسسه نار نور على نور يهدي الله لنوره من يشاء ويضرب الله الأمثال للناس والله بكل شيء عليم. في بيوت أذن الله أن ترفع ويذكر فيها اسمه يسبح له فيها بالغدو والآصال. رجال لا تلهيهم تجارة ولا بيع عن ذكر الله وإقام الصلاة وإيتاء الزكاة يخافون يوما تتقلب فيه القلوب والأبصار. ليجزيهم الله أحسن ما عملوا ويزيدهم من فضله والله يرزق من يشاء بغير حساب.,ما المخلوقات التي تسبح الله؟,رجال لا تلهيهم تجارة ولا بيع عن ذكر الله
158,ألم تر أن الله يسبح له من في السماوات والأرض والطير صافات كل قد علم صلاته وتسبيحه والله عليم بما يفعلون. ولله ملك السماوات والأرض وإلى الله المصير. ألم تر أن الله يزجي سحابا ثم يؤلف بينه ثم يجعله ركاما فترى الودق يخرج من خلاله وينزل من السماء من جبال فيها من برد فيصيب به من يشاء ويصرفه عن من يشاء يكاد سنا برقه يذهب بالأبصار. يقلب الله الليل والنهار إن في ذلك لعبرة لأولي الأبصار. والله خلق كل دابة من ماء فمنهم من يمشي على بطنه ومنهم من يمشي على رجلين ومنهم من يمشي على أربع يخلق الله ما يشاء إن الله على كل شيء قدير.,ما المخلوقات التي تسبح الله؟,من في السماوات والأرض
159,ألم تر أن الله يسبح له من في السماوات والأرض والطير صافات كل قد علم صلاته وتسبيحه والله عليم بما يفعلون. ولله ملك السماوات والأرض وإلى الله المصير. ألم تر أن الله يزجي سحابا ثم يؤلف بينه ثم يجعله ركاما فترى الودق يخرج من خلاله وينزل من السماء من جبال فيها من برد فيصيب به من يشاء ويصرفه عن من يشاء يكاد سنا برقه يذهب بالأبصار. يقلب الله الليل والنهار إن في ذلك لعبرة لأولي الأبصار. والله خلق كل دابة من ماء فمنهم من يمشي على بطنه ومنهم من يمشي على رجلين ومنهم من يمشي على أربع يخلق الله ما يشاء إن الله على كل شيء قدير.,ما المخلوقات التي تسبح الله؟,الطير
160,إنما يؤمن بآياتنا الذين إذا ذكروا بها خروا سجدا وسبحوا بحمد ربهم وهم لا يستكبرون. تتجافى جنوبهم عن المضاجع يدعون ربهم خوفا وطمعا ومما رزقناهم ينفقون. فلا تعلم نفس ما أخفي لهم من قرة أعين جزاء بما كانوا يعملون.,ما المخلوقات التي تسبح الله؟,إنما يؤمن بآياتنا الذين إذا ذكروا بها خروا سجدا وسبحوا بحمد ربهم
161,وإن يونس لمن المرسلين. إذ أبق إلى الفلك المشحون. فساهم فكان من المدحضين. فالتقمه الحوت وهو مليم. فلولا أنه كان من المسبحين. للبث في بطنه إلى يوم يبعثون. فنبذناه بالعراء وهو سقيم. وأنبتنا عليه شجرة من يقطين. وأرسلناه إلى مائة ألف أو يزيدون. فآمنوا فمتعناهم إلى حين.,ما المخلوقات التي تسبح الله؟,يونس
162,وجعلوا بينه وبين الجنة نسبا ولقد علمت الجنة إنهم لمحضرون. سبحان الله عما يصفون. إلا عباد الله المخلصين. فإنكم وما تعبدون. ما أنتم عليه بفاتنين. إلا من هو صال الجحيم. وما منا إلا له مقام معلوم. وإنا لنحن الصافون. وإنا لنحن المسبحون. وإن كانوا ليقولون. لو أن عندنا ذكرا من الأولين. لكنا عباد الله المخلصين.,ما المخلوقات التي تسبح الله؟,إنا لنحن المسبحون
163,كذبت قبلهم قوم نوح وعاد وفرعون ذو الأوتاد. وثمود وقوم لوط وأصحاب الأيكة أولئك الأحزاب. إن كل إلا كذب الرسل فحق عقاب. وما ينظر هؤلاء إلا صيحة واحدة ما لها من فواق. وقالوا ربنا عجل لنا قطنا قبل يوم الحساب. اصبر على ما يقولون واذكر عبدنا داوود ذا الأيد إنه أواب. إنا سخرنا الجبال معه يسبحن بالعشي والإشراق. والطير محشورة كل له أواب. وشددنا ملكه وآتيناه الحكمة وفصل الخطاب.,ما المخلوقات التي تسبح الله؟,الجبال
164,وسيق الذين كفروا إلى جهنم زمرا حتى إذا جاءوها فتحت أبوابها وقال لهم خزنتها ألم يأتكم رسل منكم يتلون عليكم آيات ربكم وينذرونكم لقاء يومكم هذا قالوا بلى ولكن حقت كلمة العذاب على الكافرين. قيل ادخلوا أبواب جهنم خالدين فيها فبئس مثوى المتكبرين. وسيق الذين اتقوا ربهم إلى الجنة زمرا حتى إذا جاءوها وفتحت أبوابها وقال لهم خزنتها سلام عليكم طبتم فادخلوها خالدين. وقالوا الحمد لله الذي صدقنا وعده وأورثنا الأرض نتبوأ من الجنة حيث نشاء فنعم أجر العاملين. وترى الملائكة حافين من حول العرش يسبحون بحمد ربهم وقضي بينهم بالحق وقيل الحمد لله رب العالمين.,ما المخلوقات التي تسبح الله؟,الملائكة
165,الذين يحملون العرش ومن حوله يسبحون بحمد ربهم ويؤمنون به ويستغفرون للذين آمنوا ربنا وسعت كل شيء رحمة وعلما فاغفر للذين تابوا واتبعوا سبيلك وقهم عذاب الجحيم. ربنا وأدخلهم جنات عدن التي وعدتهم ومن صلح من آبائهم وأزواجهم وذرياتهم إنك أنت العزيز الحكيم. وقهم السيئات ومن تق السيئات يومئذ فقد رحمته وذلك هو الفوز العظيم.,ما المخلوقات التي تسبح الله؟,الذين يحملون العرش ومن حوله
166,ومن آياته الليل والنهار والشمس والقمر لا تسجدوا للشمس ولا للقمر واسجدوا لله الذي خلقهن إن كنتم إياه تعبدون. فإن استكبروا فالذين عند ربك يسبحون له بالليل والنهار وهم لا يسأمون. ومن آياته أنك ترى الأرض خاشعة فإذا أنزلنا عليها الماء اهتزت وربت إن الذي أحياها لمحيي الموتى إنه على كل شيء قدير.,ما المخلوقات التي تسبح الله؟,الذين عند ربك
167,حم. عسق. كذلك يوحي إليك وإلى الذين من قبلك الله العزيز الحكيم. له ما في السماوات وما في الأرض وهو العلي العظيم. تكاد السماوات يتفطرن من فوقهن والملائكة يسبحون بحمد ربهم ويستغفرون لمن في الأرض ألا إن الله هو الغفور الرحيم. والذين اتخذوا من دونه أولياء الله حفيظ عليهم وما أنت عليهم بوكيل.,ما المخلوقات التي تسبح الله؟,الملائكة
168,سبح لله ما في السماوات والأرض وهو العزيز الحكيم. له ملك السماوات والأرض يحيي ويميت وهو على كل شيء قدير. هو الأول والآخر والظاهر والباطن وهو بكل شيء عليم. هو الذي خلق السماوات والأرض في ستة أيام ثم استوى على العرش يعلم ما يلج في الأرض وما يخرج منها وما ينزل من السماء وما يعرج فيها وهو معكم أين ما كنتم والله بما تعملون بصير. له ملك السماوات والأرض وإلى الله ترجع الأمور. يولج الليل في النهار ويولج النهار في الليل وهو عليم بذات الصدور.,ما المخلوقات التي تسبح الله؟,ما في السماوات والأرض
169,سبح لله ما في السماوات وما في الأرض وهو العزيز الحكيم. هو الذي أخرج الذين كفروا من أهل الكتاب من ديارهم لأول الحشر ما ظننتم أن يخرجوا وظنوا أنهم مانعتهم حصونهم من الله فأتاهم الله من حيث لم يحتسبوا وقذف في قلوبهم الرعب يخربون بيوتهم بأيديهم وأيدي المؤمنين فاعتبروا يا أولي الأبصار. ولولا أن كتب الله عليهم الجلاء لعذبهم في الدنيا ولهم في الآخرة عذاب النار. ذلك بأنهم شاقوا الله ورسوله ومن يشاق الله فإن الله شديد العقاب. ما قطعتم من لينة أو تركتموها قائمة على أصولها فبإذن الله وليخزي الفاسقين.,ما المخلوقات التي تسبح الله؟,ما في السماوات وما في الأرض
170,لو أنزلنا هذا القرآن على جبل لرأيته خاشعا متصدعا من خشية الله وتلك الأمثال نضربها للناس لعلهم يتفكرون. هو الله الذي لا إله إلا هو عالم الغيب والشهادة هو الرحمن الرحيم. هو الله الذي لا إله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز الجبار المتكبر سبحان الله عما يشركون. هو الله الخالق البارئ المصور له الأسماء الحسنى يسبح له ما في السماوات والأرض وهو العزيز الحكيم.,ما المخلوقات التي تسبح الله؟,ما في السماوات والأرض
